Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,1,4
3/30/2020,28,125,0,4
3/31/2020,28,153,0,4
4/1/2020,36,189,0,4
4/2/2020,41,230,2,6
4/3/2020,38,268,1,7
4/4/2020,38,306,1,8
4/5/2020,68,374,0,8
4/6/2020,79,453,1,9
4/7/2020,71,524,0,9
4/8/2020,100,624,3,12
4/9/2020,113,737,3,15
4/10/2020,108,845,2,17
4/11/2020,120,965,4,21
4/12/2020,114,1079,5,26
4/13/2020,162,1241,7,33
4/14/2020,122,1363,9,42
4/15/2020,177,1540,6,48
4/16/2020,174,1714,4,52
4/17/2020,167,1881,8,60
4/18/2020,171,2052,6,66
4/19/2020,178,2230,4,70
4/20/2020,173,2403,10,80
4/21/2020,160,2563,2,82
4/22/2020,152,2715,1,83
4/23/2020,190,2905,5,88
4/24/2020,197,3102,6,94
4/25/2020,151,3253,2,96
4/26/2020,150,3403,4,100
4/27/2020,158,3561,5,105
4/28/2020,141,3702,5,110
4/29/2020,165,3867,6,116
4/30/2020,143,4010,2,118
5/1/2020,176,4186,3,121
5/2/2020,144,4330,3,124
5/3/2020,137,4467,3,127
5/4/2020,135,4602,4,131
5/5/2020,137,4739,5,136
5/6/2020,139,4878,6,142
5/7/2020,130,5008,3,145
5/8/2020,110,5118,6,151
5/9/2020,104,5222,9,160
5/10/2020,126,5348,2,162
5/11/2020,127,5475,3,165
5/12/2020,113,5588,4,169
5/13/2020,114,5702,1,170
5/14/2020,100,5802,4,174
5/15/2020,119,5921,4,178
5/16/2020,85,6006,7,185
5/17/2020,83,6089,1,186
5/18/2020,97,6186,1,187
5/19/2020,74,6260,2,189
5/20/2020,84,6344,0,189
5/21/2020,67,6411,4,193
5/22/2020,82,6493,2,195
5/23/2020,71,6564,1,196
5/24/2020,60,6624,2,198
5/25/2020,65,6689,2,200
5/26/2020,73,6762,0,200
5/27/2020,64,6826,1,201
5/28/2020,51,6877,0,201
5/29/2020,57,6934,2,203
5/30/2020,56,6990,1,204
5/31/2020,55,7045,1,205
6/1/2020,34,7079,0,205
6/2/2020,51,7130,1,206
6/3/2020,41,7171,0,206
6/4/2020,44,7215,0,206
6/5/2020,26,7241,0,206
6/6/2020,44,7285,0,206
6/7/2020,37,7322,1,207
6/8/2020,38,7360,0,207
6/9/2020,33,7393,0,207
6/10/2020,35,7428,0,207
6/11/2020,33,7461,0,207
6/12/2020,39,7500,1,208
6/13/2020,26,7526,2,210
6/14/2020,31,7557,0,210
6/15/2020,35,7592,1,211
6/16/2020,16,7608,1,212
6/17/2020,28,7636,0,212
6/18/2020,23,7659,1,213
6/19/2020,33,7692,0,213
6/20/2020,16,7708,0,213
6/21/2020,31,7739,0,213
6/22/2020,21,7760,0,213
6/23/2020,29,7789,1,214
6/24/2020,25,7814,0,214
6/25/2020,18,7832,0,214
6/26/2020,21,7853,0,214
6/27/2020,22,7875,0,214
6/28/2020,20,7895,0,214
6/29/2020,16,7911,1,215
6/30/2020,15,7926,1,216
7/1/2020,23,7949,0,216
7/2/2020,20,7969,0,216
7/3/2020,16,7985,1,217
7/4/2020,18,8003,1,218
7/5/2020,17,8020,0,218
7/6/2020,23,8043,0,218
7/7/2020,19,8062,1,219
7/8/2020,28,8090,1,220
7/9/2020,17,8107,0,220
7/10/2020,10,8117,0,220
7/11/2020,11,8128,0,220
7/12/2020,14,8142,2,222
7/13/2020,16,8158,1,223
7/14/2020,18,8176,1,224
7/15/2020,12,8188,0,224
7/16/2020,11,8199,0,224
7/17/2020,16,8215,0,224
7/18/2020,13,8228,1,225
7/19/2020,14,8242,0,225
7/20/2020,8,8250,0,225
7/21/2020,17,8267,0,225
7/22/2020,15,8282,0,225
7/23/2020,14,8296,0,225
7/24/2020,23,8319,0,225
7/25/2020,14,8333,0,225
7/26/2020,14,8347,2,227
7/27/2020,16,8363,1,228
7/28/2020,13,8376,0,228
7/29/2020,14,8390,0,228
7/30/2020,10,8400,0,228
7/31/2020,15,8415,0,228
8/1/2020,19,8434,0,228
8/2/2020,10,8444,0,228
8/3/2020,8,8452,0,228
8/4/2020,14,8466,0,228
8/5/2020,14,8480,0,228
8/6/2020,13,8493,0,228
8/7/2020,15,8508,0,228
8/8/2020,13,8521,1,229
8/9/2020,9,8530,0,229
8/10/2020,14,8544,0,229
8/11/2020,12,8556,0,229
8/12/2020,19,8575,0,229
8/13/2020,12,8587,0,229
8/14/2020,7,8594,2,231
